name,ring,quadrant,isNew,description
Vue / Vuex / Nuxt / SSR,use,languages & frameworks,FALSE,
gRPC + Protobuf,use,languages & frameworks,FALSE,
Golang,use,languages & frameworks,FALSE,
Node.js,use,languages & frameworks,FALSE,
Python,use,languages & frameworks,FALSE,
OpenSearch,use,languages & frameworks,FALSE,
Browser API (for web extensions),use,languages & frameworks,TRUE,
Swift (iOS),use,languages & frameworks,FALSE,
Java (Android),use,languages & frameworks,FALSE,
Sass,use,languages & frameworks,FALSE,
pip env,use,languages & frameworks,TRUE,
JavaScript,use,languages & frameworks,FALSE,
Zurb for email,trial,languages & frameworks,FALSE,
Django (for internal data entry tooling),trial,languages & frameworks,TRUE,
TypeScript,trial,languages & frameworks,TRUE,Used in only one external project
Pandas,trial,languages & frameworks,TRUE,
PySpark,assess,languages & frameworks,TRUE,
Kotlin (Android),assess,languages & frameworks,TRUE,
Backbone + jQuery,drop,languages & frameworks,FALSE,
Ghost,use,platforms,TRUE,Blog
Airtable,assess,platforms,TRUE,
Strapi,trial,platforms,TRUE,CMS
Chromium,use,platforms,FALSE,
AWS Cloud Services,use,platforms,FALSE,
Docker,use,platforms,FALSE,
Amazon RDS,use,platforms,TRUE,
Nginx / open resty,use,platforms,FALSE,
Managed Kubernetes (EKS),use,platforms,TRUE,
Sagemaker Studio,assess,platforms,TRUE,Data Science IDE offering from AWS
Amazon Aurora,assess,platforms,TRUE,
AWS ALB,assess,platforms,TRUE,
AWS WAF,assess,platforms,TRUE,
Docker (for local development),trial,techniques,TRUE,
Monorepo,trial,techniques,FALSE,
Code Reviews,use,techniques,FALSE,
Continuous Deployment,use,techniques,FALSE,
DevOps,use,techniques,FALSE,
T-Shaped Skills,use,techniques,FALSE,
Feature Flags,use,techniques,TRUE,
Pair Programming,trial,techniques,FALSE,
Test Coverage,use,techniques,TRUE,not for python
Linting,use,techniques,FALSE,
DNS as code,use,techniques,TRUE,
Automated Dependency Upgrades (Dependabot),trial,techniques,FALSE,
Mobile First,use,techniques,FALSE,
Living Style Guide / Design System,use,techniques,FALSE,
RFC Process for new applications,trial,techniques,TRUE,
Postmortems,use,techniques,TRUE,
Runbooks,use,techniques,TRUE,
Engineer On-Call (day time),use,techniques,TRUE,
Shadow On-Call Shifts,trial,techniques,TRUE,
Jupyter Notebooks,use,tools,TRUE,
ElasticSearch + Kibana (Snowplow QA),use,tools,FALSE,
CircleCI,use,tools,FALSE,
GitHub,use,tools,FALSE,
Pagerduty,use,tools,FALSE,
Bazel,drop,tools,FALSE,
Terraform,use,tools,FALSE,
Prometheus,use,tools,FALSE,
Grafana,use,tools,FALSE,
Yarn,use,tools,FALSE,
Snowplow,use,tools,FALSE,
Amazon Redshift,use,tools,FALSE,
Amazon Athena,trial,tools,TRUE,
AWS Glue,trial,tools,TRUE,
Sentry,use,tools,FALSE,
Speedcurve,use,tools,FALSE,
Pingdom,use,tools,FALSE,
Let's Encrypt,drop,tools,TRUE,To be replaced by AWS Certificate Manager
Flagr,use,tools,FALSE,
Lighthouse,use,tools,TRUE,
Looker,use,tools,FALSE,
Vault,use,tools,FALSE,
OpenVPN,use,tools,FALSE,
Make files,use,tools,FALSE,
Cypress,use,tools,TRUE,
Jest,use,tools,FALSE,
Luigi,use,tools,FALSE,
Airflow,assess,tools,TRUE,
Storybook,use,tools,TRUE,Design System Page
Tilt,assess,tools,TRUE,Local development with Kubernetes: https://tilt.dev/
mbt,use,tools,TRUE,
kops,drop,tools,TRUE,To be replaced by EKS
Terraform Cloud,assess,tools,TRUE,"Remote terraform. Versioned state, RBAC controls"
cookiecutter,use,tools,TRUE,
jaeger,assess,tools,TRUE,
Loki,use,tools,TRUE,
Alertmanager,use,tools,TRUE,
Webpack,use,tools,TRUE,
Gulp,drop,tools,TRUE,To be replaced by Webpack
Helmfile,use,tools,TRUE,
Kustomize,trial,tools,TRUE,
Jsonnet,use,tools,TRUE,Potentially replaced by Kustomize
