name,ring,quadrant,isNew,moved,description
Vue.js / Nuxt,use,languages & frameworks,FALSE,,We use Nuxt for SSR and also make use of Vuex / VueCLI from the Vue.js stack. We plan to move to Vue.js 3.0
gRPC + Protobuf,use,languages & frameworks,FALSE,,
Node.js,use,languages & frameworks,FALSE,,
Golang,use,languages & frameworks,FALSE,,"Primarily used for BE services with high IO workload. 
Refer to the internal wiki for further guidance. "
Python,use,languages & frameworks,FALSE,,"Primarily used for workloads in BI/ML, data wrangling tasks and data loading patterns.
Refer to the internal wiki for further guidance. "
OpenSearch,use,languages & frameworks,FALSE,,
Swift (iOS),use,languages & frameworks,FALSE,,
Java (for Android),use,languages & frameworks,FALSE,,
Sass,use,languages & frameworks,FALSE,,
JavaScript,use,languages & frameworks,FALSE,,
Ghost,use,platforms,FALSE,,Used for Blog and Notifications
Chromium,use,platforms,FALSE,,
AWS Cloud Services,use,platforms,FALSE,,"We use AWS as main cloud provider and many of its more common services like: EC2, S3, RDS, Cloudfront, etc. In the rest of the tech radar you can find specific details about some of these services worth highlighting. "
Docker,use,platforms,FALSE,,
Amazon RDS,use,platforms,FALSE,,
Managed Kubernetes (EKS),use,platforms,FALSE,,
AWS ALB,use,platforms,FALSE,IN,In the critical path now for most traffic
Cloudflare,use,platforms,TRUE,,Used primarily as anti-spam solution. Still want to explore other usecases of the Cloudflare ecosystem.
Firefox for iOS,use,platforms,TRUE,,We build our iOS App on top of this.
Docker (for local development),use,techniques,FALSE,IN,Used mainly for BE development at the moment
Monorepo,use,techniques,FALSE,IN,"We are using a monorepo for our main Web stack. 
Not including mobile apps, infrastructure and other external projects."
Code Reviews,use,techniques,FALSE,,
Continuous Deployment,use,techniques,FALSE,,
DevOps,use,techniques,FALSE,,
T-Shaped Skills,use,techniques,FALSE,,
Feature Flags,use,techniques,FALSE,,
Pair Programming,use,techniques,FALSE,,We use pair programming occasionally and we want to encourage our teams to do it a bit more frequently than now.
Test Coverage thresholds,use,techniques,FALSE,,"We adopted thresholds for ""unit test"" coverage in our project builds. 
Default target is 80% and adjustable by the team."
Linting,use,techniques,FALSE,,
Dependabot,use,tools,FALSE,IN,Creating automated PRs for dependency upgrades. Manually reviewed.
Mobile First,use,techniques,FALSE,,
Living Style Guide / Design System,use,techniques,FALSE,,
RFC Process for new applications,use,techniques,FALSE,IN,
Postmortems,use,techniques,FALSE,,
Runbooks,use,techniques,FALSE,,
Engineer On-Call (day time),use,techniques,FALSE,,
Shadow On-Call Shifts,use,techniques,FALSE,,Shadows shift used as a training opportunity for new engineers.
Test Plan in Mind Map format,use,techniques,TRUE,,"Helps to visualize the steps, flows and impact for a specific feature. https://miro.com/app/board/o9J_lulXqTo=/"
Puppies attending meetings 🐶 🐈,use,techniques,TRUE,,"They improve the team mood and they're cute :)
If you're in the same physical space ask if anyone has allergies or might feel uncomfortable."
Jupyter Notebooks,use,tools,FALSE,,
ElasticSearch + Kibana (Snowplow QA),use,tools,FALSE,,
CircleCI,use,tools,FALSE,,
GitHub,use,tools,FALSE,,
Pagerduty,use,tools,FALSE,,
Terraform,use,tools,FALSE,,
Prometheus,use,tools,FALSE,,We want to try or assess a managed solution.
Grafana,use,tools,FALSE,,We want to try or assess a managed solution.
Yarn,use,tools,FALSE,,
Snowplow,use,tools,FALSE,,
Amazon Redshift,use,tools,FALSE,,
Amazon Athena,use,tools,FALSE,,
AWS Glue,use,tools,FALSE,,
Sentry,use,tools,FALSE,,
Speedcurve,use,tools,FALSE,,Used for our page speed and latency KPIs. Occasionally for manual checks of new releases
Pingdom,use,tools,FALSE,,
Flagr,use,tools,FALSE,,Used for feature toggles and A/B testing
Lighthouse,use,tools,FALSE,,
Looker,use,tools,FALSE,,
